DATE,QUANTITY,CODECONTENT
2025-03-05 00:49:53 -0500,2,9787532180110
2025-03-05 01:01:51 -0500,9,9787532180141
2025-03-05 20:26:31 -0500,1,9787532180295
2025-04-11 23:37:49 -0400,3,9787532180486
2025-03-05 01:42:15 -0500,1,9787532180523
2025-03-05 19:20:05 -0500,5,9787532181353
2025-03-05 01:06:25 -0500,3,9787532181971
2025-04-11 23:42:06 -0400,1,9787532183029
2025-03-05 19:16:36 -0500,1,9787532183418
2025-04-11 23:35:37 -0400,2,9787532183425
2025-04-11 23:36:51 -0400,2,9787532183654
2025-03-05 01:12:19 -0500,4,9787532184422
2025-04-11 23:36:36 -0400,1,9787532184682
2025-03-05 01:44:37 -0500,1,9787532184774
2025-04-12 06:41:29 -0400,3,9787532185214
2025-04-12 05:18:49 -0400,1,9787532185672
2025-04-12 06:49:38 -0400,2,9787532186679
2025-03-05 00:46:12 -0500,2,9787532187409
2025-04-12 07:13:09 -0400,2,9787532563470
2025-04-12 07:13:20 -0400,2,9787532563548
2025-04-12 05:32:36 -0400,1,9787532642571
2025-04-12 05:32:41 -0400,1,9787532642588
2025-04-12 05:32:12 -0400,1,9787532642595
2025-04-12 05:32:29 -0400,1,9787532642601
2025-04-12 05:32:19 -0400,1,9787532642618
2025-04-12 05:33:54 -0400,1,9787532642625
2025-04-12 06:22:57 -0400,3,9787532763214
2025-03-03 00:22:30 -0500,1,9787532766253
2025-03-05 20:28:58 -0500,1,9787532768349
2025-03-05 18:44:35 -0500,3,9787532772643
2025-03-03 00:27:40 -0500,1,9787532772858
2025-03-05 00:31:13 -0500,2,9787532774326
2025-04-12 06:26:00 -0400,1,9787532775552
2025-04-12 06:20:54 -0400,2,9787532776313
2025-04-12 06:46:06 -0400,2,9787532777082
2025-04-12 05:38:04 -0400,4,9787532777914
2025-04-12 06:39:02 -0400,1,9787532778478
2025-03-03 00:23:30 -0500,2,9787532779109
2025-04-12 06:49:42 -0400,3,9787532782918
2025-04-12 05:53:40 -0400,1,9787532783915
2025-03-03 00:20:00 -0500,3,9787532784301
2025-03-03 00:02:09 -0500,2,9787532784790
2025-04-12 05:22:06 -0400,1,9787532785575
2025-03-03 00:15:55 -0500,1,9787532786114
2025-04-12 06:27:28 -0400,1,9787532786121
2025-03-03 00:21:15 -0500,2,9787532786831
2025-04-12 06:26:32 -0400,1,9787532788002
2025-04-12 06:26:38 -0400,2,9787532788057
2025-03-03 00:20:30 -0500,1,9787532788149
2025-04-12 05:50:50 -0400,2,9787532788408
2025-03-05 20:48:19 -0500,1,9787532789047
2025-03-05 20:59:26 -0500,1,9787532789627
2025-03-03 00:19:37 -0500,1,9787532790227
2025-04-12 06:21:27 -0400,3,9787532791262
2025-03-05 20:59:06 -0500,2,9787532792481
2025-04-12 07:02:14 -0400,2,9787533471996
2025-03-05 20:28:45 -0500,1,9787533939601
2025-03-05 00:47:05 -0500,1,9787533944711
2025-04-12 06:26:57 -0400,2,9787533948641
2025-04-12 07:10:52 -0400,1,9787533949549
2025-03-03 00:30:31 -0500,3,9787533953263
2025-03-03 00:28:35 -0500,1,9787533960759
2025-03-03 00:28:16 -0500,2,9787533961718
2025-03-03 00:28:08 -0500,1,9787533962968
2025-04-12 06:22:08 -0400,2,9787533964566
2025-03-05 00:33:37 -0500,2,9787533964931
2025-03-03 00:28:45 -0500,1,9787533966065
2025-03-03 00:26:35 -0500,1,9787533966294
2025-04-11 23:29:13 -0400,2,9787533966980
2025-03-05 00:47:39 -0500,2,9787533970376
2025-04-12 05:17:57 -0400,1,9787534072918
2025-04-12 06:04:06 -0400,1,9787534076619
2025-04-12 05:29:15 -0400,2,9787534326264
2025-04-12 05:34:22 -0400,1,9787534865121
2025-04-12 06:00:10 -0400,5,9787535063656
2025-04-12 07:08:11 -0400,2,9787535483331
2025-04-12 07:07:53 -0400,2,9787535483348
2025-04-12 05:59:55 -0400,1,9787535681539
2025-03-05 20:02:40 -0500,1,9787535699688
2025-04-12 06:49:49 -0400,1,9787536061569
2025-03-03 00:29:34 -0500,1,9787536078062
2025-04-12 07:06:51 -0400,2,9787536079359
2025-03-03 00:29:00 -0500,1,9787536079557
2025-03-05 00:29:15 -0500,1,9787536085725
2025-03-03 00:30:45 -0500,1,9787536088498
2025-03-05 00:28:59 -0500,3,9787536088818
2025-03-05 01:03:45 -0500,1,9787536091511
2025-03-05 01:44:29 -0500,1,9787536094420
2025-03-03 00:03:45 -0500,2,9787536095021
2025-03-03 00:03:47 -0500,3,9787536095038
2025-04-12 05:47:43 -0400,2,9787536464315
2025-03-05 19:20:41 -0500,1,9787537862837
2025-03-05 00:45:49 -0500,1,9787537864640
2025-03-05 00:49:38 -0500,2,9787537865029
2025-03-05 01:33:53 -0500,3,9787538769319
2025-04-12 07:06:05 -0400,1,9787539491363
2025-04-12 07:07:06 -0400,2,9787540227593
2025-03-05 00:31:58 -0500,1,9787540242305
2025-03-15 18:22:40 -0400,1,9787540449452
2025-03-15 18:23:23 -0400,1,9787540449476
2025-03-15 18:22:13 -0400,1,9787540449490
2025-03-15 18:22:03 -0400,1,9787540449544
2025-03-15 18:22:48 -0400,1,9787540449568
2025-03-15 18:25:13 -0400,1,9787540467104
2025-03-15 18:23:18 -0400,2,9787540474638
2025-03-15 18:23:11 -0400,1,9787540478803
2025-03-15 18:25:19 -0400,1,9787540480684
2025-03-15 18:23:07 -0400,1,9787540480691
2025-03-15 18:23:00 -0400,1,9787540480707
2025-03-05 01:08:00 -0500,2,9787540480974
2025-03-15 18:21:47 -0400,1,9787540483715
2025-03-15 18:23:29 -0400,1,9787540483739
2025-03-15 18:21:40 -0400,1,9787540483760
2025-03-15 18:21:56 -0400,1,9787540483814
2025-04-12 06:40:06 -0400,2,9787540486228
2025-04-12 06:45:24 -0400,2,9787540488796
2025-03-03 00:29:59 -0500,3,9787540494155
2025-04-12 06:55:14 -0400,1,9787540497743
2025-04-12 05:52:41 -0400,2,9787540789312
2025-03-03 00:09:35 -0500,1,9787540793746
2025-04-12 05:34:41 -0400,2,9787541141355
2025-04-12 05:18:28 -0400,1,9787541147401
2025-03-05 00:51:00 -0500,1,9787541150593
2025-03-05 01:33:31 -0500,1,9787541155314
2025-04-12 05:31:59 -0400,1,9787541156045
2025-03-05 01:04:20 -0500,2,9787541157264
2025-03-05 00:34:28 -0500,2,9787541158612
2025-03-05 00:40:28 -0500,1,9787541159206
2025-04-12 05:52:03 -0400,2,9787541161575
2025-04-12 06:23:48 -0400,2,9787541164156
2025-04-12 06:40:34 -0400,14,9787541164880
2025-03-03 00:23:11 -0500,2,9787541165146
2025-04-12 05:28:52 -0400,1,9787541828423
2025-04-12 05:52:57 -0400,7,9787542643216
2025-03-05 20:11:01 -0500,9,9787542669964
2025-03-05 01:01:32 -0500,2,9787542669988
2025-03-05 01:07:24 -0500,2,9787542672506
2025-03-05 00:41:51 -0500,2,9787542674173
2025-04-12 05:23:35 -0400,1,9787542675415
2025-04-12 05:54:50 -0400,1,9787542677082
2025-04-12 05:31:03 -0400,1,9787542677327
2025-04-12 07:05:15 -0400,1,9787542677624
2025-03-05 20:52:55 -0500,2,9787542677976
2025-03-05 01:34:03 -0500,2,9787542678621
2025-03-05 20:54:11 -0500,1,9787542680860
2025-04-12 05:45:17 -0400,3,9787542685711
2025-03-02 23:57:19 -0500,1,9787542698964
2025-03-03 00:26:07 -0500,1,9787544258197
2025-04-12 06:25:30 -0400,1,9787544265409
2025-03-03 00:02:25 -0500,1,9787544285117
2025-03-03 00:21:55 -0500,2,9787544293662
2025-03-02 23:59:10 -0500,1,9787544479363
2025-04-12 05:29:44 -0400,1,9787544521307
2025-03-03 00:24:32 -0500,2,9787544722346
2025-03-05 20:27:25 -0500,2,9787544754521
2025-03-03 00:02:17 -0500,1,9787544766746
2025-03-03 00:02:21 -0500,1,9787544766760
2025-03-05 00:50:09 -0500,2,9787544772587
2025-03-05 00:39:28 -0500,2,9787544784054
2025-04-12 06:37:59 -0400,2,9787544784542
2025-03-05 20:05:21 -0500,1,9787544785419
2025-03-05 01:06:57 -0500,2,9787544788144
2025-03-03 00:24:21 -0500,1,9787544788281
2025-03-05 01:44:16 -0500,1,9787544788939
2025-04-11 23:28:52 -0400,1,9787544789981
2025-04-12 06:45:13 -0400,2,9787544791106
2025-03-03 00:04:07 -0500,2,9787544793209
2025-03-03 00:29:41 -0500,2,9787544793612
2025-04-11 23:34:43 -0400,2,9787544793629
2025-03-02 23:59:43 -0500,1,9787544793636
2025-03-05 01:03:04 -0500,2,9787544794855
2025-04-11 23:30:20 -0400,2,9787544798273
2025-04-12 05:17:44 -0400,1,9787544798327
2025-04-11 23:33:22 -0400,1,9787545219586
2025-03-05 01:43:10 -0500,1,9787545546927
2025-03-05 20:23:21 -0500,2,9787545559583
2025-04-12 06:23:33 -0400,2,9787545562774
2025-03-05 20:50:08 -0500,1,9787545815429
2025-04-11 23:29:02 -0400,2,9787545819724
2025-03-03 00:09:27 -0500,1,9787547315002
2025-03-05 19:49:53 -0500,2,9787547320884
2025-04-12 06:49:24 -0400,3,9787547321669
2025-04-12 05:50:56 -0400,1,9787547517086
2025-03-05 01:00:14 -0500,4,9787547738207
2025-04-11 23:36:16 -0400,2,9787547739716
2025-04-12 05:25:35 -0400,2,9787547742723
2025-04-12 06:49:10 -0400,2,9787547743089
2025-04-11 23:26:26 -0400,1,9787547743126
2025-03-05 01:07:42 -0500,2,9787547746202
2025-04-12 05:38:58 -0400,1,9787548061441
2025-04-12 05:39:07 -0400,1,9787548061656
2025-04-12 05:57:31 -0400,1,9787548073338
2025-03-15 18:06:25 -0400,1,9787548446163
2025-04-12 05:51:03 -0400,1,9787548615941
2025-03-05 00:35:59 -0500,1,9787549507887
2025-03-05 01:47:44 -0500,1,9787549522644
2025-03-03 00:10:22 -0500,2,9787549535439
2025-04-11 23:34:50 -0400,2,9787549565252
2025-04-12 05:59:33 -0400,1,9787549579495
2025-03-05 00:29:37 -0500,1,9787549580439
2025-03-05 00:29:31 -0500,1,9787549593255
2025-03-05 01:02:03 -0500,1,9787549596782
2025-04-12 06:25:43 -0400,1,9787549601851
2025-03-05 20:08:43 -0500,1,9787549629046
2025-04-12 06:44:30 -0400,2,9787549637287
2025-03-05 20:52:03 -0500,1,9787549637300
2025-04-12 05:38:24 -0400,2,9787549640485
2025-04-12 07:09:02 -0400,1,9787550008533
2025-03-05 01:37:04 -0500,3,9787550044463
2025-03-05 19:31:32 -0500,2,9787550184602
2025-04-12 05:22:30 -0400,1,9787550287327
2025-04-12 07:10:28 -0400,3,9787550617896
